,tinybert,distilbert,roberta-base,bert-large,roberta-large
lime,0.04340869554065056,0.04922581897378203,0.088629516669215,0.04283149442071918,0.04137199973989834
shap,0.16360658318223342,0.05606475162532972,0.06407223015352727,0.0778656620659823,0.03998628813509129
grad_input,0.8019234668561322,0.1464090997682222,0.08896604044192574,0.012340241316491536,0.4539893749946741
attention_rollout,0.00023746905232212246,0.00023418783887498788,0.004010166202250426,0.00024008977361921459,0.0037710790169319442
attention_flow,0.00022953514741853203,0.0002318238920816529,0.0014394165779827682,0.00023216029910450887,0.001436234495861385
lrp,0.7213879456991826,0.11700561269313733,0.08567678596000335,0.0031998524196667874,0.23340563287232247
