,tinybert,distilbert,roberta-base,bert-large,roberta-large
lime,0.04612246894564759,0.0773581882609849,0.05806179002624988,0.05935501217905666,0.06214892940542081
shap,0.00488273695340255,0.009793291319438065,0.00816535622515921,0.009605824864299266,0.011662819078071747
grad_input,0.29852734298645744,0.2809143731676158,0.304815635493875,0.35522648642851373,0.45916809158668864
attention_rollout,0.011683656514153441,0.006058603227318925,0.0034392796075736073,0.010005438083265525,0.004838501568270036
attention_flow,0.09566605370437127,0.09637089236212143,0.07497702199050121,0.09719308416554255,0.07512178724644919
lrp,0.2852085795673436,0.2906124623086196,0.3172953202304793,0.3639206946902809,0.49669497812554175
